month,day,weekday,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
11,26,Fri,4189583.9055861267,3494469.301950847,4929267.4307048945,2648612.3090021187,3522177.58117776,3405458.1720726313,4444595.277129409,4228777.915305503,4574129.327365527,5784002.301668816,7925661.655151032,6927859.01381798,10849954.605575887,11416245.409545915,15472203.379795676,10231031.490643801,11175160.511474054,6836037.571908089,14103496.261607347,13546469.042938104,13737793.729300927,12619555.50005183,19889839.93360425,15716340.35945916,17287596.47382771,17275356.46430936,13738688.058812352,13969952.962002963,15809278.240982195,14556578.427335028,12708485.490155114,16530095.48661654,13815244.453298846,18380619.324533455,15061511.709523913,10594524.612084294,13133598.874071183,13279863.213154757,11323593.312865626,14199468.682480633,9228120.739277968,8702225.900689323,10327227.549983392,10700441.059732294,9723164.418272939,9772303.995494395,9167001.50504441,6468845.930317298
11,27,Sat,6787736.526558323,6624649.708314727,5793715.02505936,5343439.101783089,4691369.3834851375,5998838.277732466,3665899.4089599852,3997023.7794289812,5343002.253813454,4109295.4603942856,4242419.573005643,3909546.0808006176,5490314.942190479,5036933.086561653,7985291.216164814,8817622.875758734,7391531.9063506,10102201.59958155,7098126.410948318,10611279.274766235,9561928.480365654,10948093.553335628,13861021.975232037,11995760.264917688,13978376.286592254,14790443.298193742,12107520.71192114,4921211.947461851,15546992.953101186,14653926.341504017,12574662.564603254,1185515.1961541362,12107349.026802937,10836780.15996275,9965257.894547435,9605312.910622012,11099171.080520945,9435782.682400215,9504389.855151268,9727073.992922679,12155325.015820116,12121274.742679898,8981714.117080877,849584.9285477996,10295984.686491728,8516973.422813969,7720812.099747578,7234826.16309939
11,28,Sun,6209883.872072098,6483690.309307494,7298292.023774311,10335091.819321195,8369226.388700376,6706614.764666284,5044946.547275876,4975204.101445756,5233147.537417392,4939280.499404334,5189776.593106967,6384504.0723519595,7086610.920849817,8938651.037594536,10935478.754007874,9164044.41351002,10095518.00240902,8902909.090926252,9182419.832047401,10415646.137852151,12006919.077412575,11239023.354302002,10576230.418706762,12544520.017621512,11073691.56202833,11859511.464468984,10603257.0698902,9437572.221951341,10026435.243282625,12000865.988411516,12794784.88496601,15779391.873268336,12671565.258704022,11107898.83573295,11982595.335108805,12499512.800008908,8966996.707015011,9130838.708118152,9827852.441200625,8684215.283740481,10343781.914888324,9160066.8779029,7716722.264586678,8116284.100350826,6678915.534638624,8226474.816384981,5727819.223193207,5223707.353544688
11,29,Mon,5063243.620200716,5209062.458490412,5829370.810212223,3924896.497738689,4396168.475585447,3678744.4886877844,2973784.4794410216,3721771.4887680663,5214640.47908508,7301298.555093119,6357692.480437254,6995997.020334075,9158061.365773262,10866876.060624253,10109276.161052704,13250233.085703697,10579083.65410268,11662619.827752247,17953025.39673198,16271190.558929864,13164709.011046445,13680378.11545283,13182775.105353635,13471798.14443745,14161465.690701554,16174026.802141398,15272967.436690478,16466089.357802922,15818073.906274814,14261578.150490595,13701875.196837286,14600212.82356,12153868.349777658,12443377.25075804,11493173.843124732,17779617.306823954,16814141.061107382,14742342.729202723,14392100.466309426,11847036.639906505,11772943.27685229,8479858.39504974,10685716.742761781,11237210.658714248,8326939.52023597,9371564.407639168,7499638.913827183,6119501.42623652
11,30,Tue,4861420.673305428,3857221.1854441017,5257285.413268273,4709573.192243625,4863685.966178237,4017151.6555868103,7137485.41636843,5566008.349799181,6207225.77878952,4279041.701023207,5143038.993243663,5919461.786438363,6964832.884094167,9848770.11458369,9161187.51160379,10150761.728495669,10643408.409356082,8002542.636122082,11998607.623852393,12453592.836548652,13384615.728604002,11988318.815556,10564720.232456507,10315883.016922357,13416762.282047153,11448592.251778847,15755919.96843352,14953769.864801196,13389581.231309505,14769969.008908954,13014025.474875038,10915861.963821063,9129988.73132975,10004645.602264255,9692492.368943077,11974480.789936969,9718826.003335174,9220819.039870745,9710729.285044929,11211212.960153205,12444102.47019669,7882738.189963897,8257899.727574131,8142983.786418846,7103279.620419187,7177052.764791113,5986364.397640203,6157697.678193351
12,01,Wed,3649032.490398001,6526940.165965612,3767775.923397891,4382865.643145324,5258565.032369041,3194274.1212963895,2570643.874637035,4387330.281851842,5807577.279781762,5300160.3404664975,7222020.314662035,11822454.446431482,9992102.63948169,12028367.952615693,13295273.979324186,8733025.289222261,11319851.69669172,9661822.050024373,10691534.35744313,11293542.184618589,8676727.088044437,12318620.464875076,10724149.355814565,9424560.574715506,12031527.518344762,11498377.469274834,11329551.255113255,3376008.2753400546,10512510.609672977,11735050.951787751,10879551.387119384,13501736.917769017,15021716.9411573,13514218.17584571,12440273.826092806,10346349.099256484,11247944.41479225,11359288.7103885,12976142.438257268,11874752.200836137,11807361.589153854,10594641.243537677,9182889.424765851,7334300.4306987645,8203430.863974639,5731793.791613598,4680614.715515851,4399993.31289125
12,02,Thu,5121957.909268662,4178737.9651606428,4224676.53908967,3753762.6941496097,6387839.0502240285,5480678.947777058,3538585.9047576366,3642775.774494287,4192711.310722679,4568736.040428524,6652553.5440416625,7977110.350550841,9369355.62002881,12384384.462372232,10837242.715199398,10856822.992902594,11465370.188847091,13062887.317920875,11886951.849848371,15868936.069699073,14060575.621184435,10806833.92792872,12663587.307753164,12481534.5082884,10384513.291986695,13625721.047860652,14632767.10621406,14873296.895311872,15802050.300175318,11814406.677868893,11770094.880726624,12283398.594617391,10201561.219496746,11004706.55563262,12244760.684856266,10946283.668224404,11011139.960324699,11558503.894933542,12919289.348518098,13822661.204633433,12470649.166905493,9430615.159348566,10156134.55769445,8131416.636720406,7200518.034591601,7781418.792464851,4914376.588537932,390197.4685531984
12,03,Fri,5634741.757297273,6334753.833869816,4757358.787228265,4599333.082122886,5159088.298156655,3615922.612600069,4322254.621492175,4169605.812124056,5194440.677090579,5263764.5553393345,8107931.872208553,7892030.318960922,9798250.064513385,11914199.444566507,10035956.47873642,13007212.398425862,12154973.213190142,14560217.030200684,8620685.56307378,269935.8099000052,12223160.251498623,11726384.723596012,11692491.584515799,14214841.728939893,12487566.554473335,13248892.825883057,15364923.506955083,14722150.142852396,11994128.794752272,11435543.33350659,13292821.029509109,7538699.384262934,11294295.124476353,11350711.380789487,11055172.270825919,8810641.792950686,11587722.037274597,13330183.203141365,11220738.779570723,6811325.378588169,12360453.213512624,13011292.908540262,9487352.345969748,9904754.23698189,9248597.598562758,7999867.939522216,10344216.036596386,5400173.955830983
12,04,Sat,5778395.515762717,5578289.259146581,4769518.31083431,4384384.174080563,6426694.805576196,5304722.874909322,4583682.825609206,4678104.59836859,6719249.679122197,5369724.821113105,5785767.747290456,6208243.430386103,5648040.162160412,6472500.639632615,6664494.766346343,10239942.388949947,8719220.005282972,9999675.82905571,10993912.431294132,9394144.005628515,10051872.8857056,10238080.467977697,11031172.187061518,9999925.452287596,10891839.508499812,10901572.6335216,9841178.425427701,13371049.44052142,13671792.09476452,12312290.708810283,11979107.991817428,11719295.13597311,11722615.703361902,12848380.318558106,10437357.76557426,11462076.85248038,10582387.699186826,9638944.984594237,13340136.326066518,9503557.379643422,10123720.581922766,9928429.883215895,11142632.597531142,8831021.831083454,9768480.055986045,9308726.731772287,7336593.428302701,7222728.802161484
12,05,Sun,5961710.645352975,5926071.633347648,5505191.834357201,5006332.964961891,4946326.516038741,4452754.563160685,5879838.701491405,4621146.749269838,5209047.488436483,4391533.412412071,4881642.864364194,3847706.565027145,5433223.668977708,4684348.978166336,8284090.111195473,9113763.63399061,9274590.656163314,12502206.718570385,11341362.079575438,11770262.5179716,9250106.414292976,4601761.514704331,12619617.36953773,10742113.632626047,11298076.152961805,13407505.838845346,8651383.31068777,11362074.557660107,11681090.109496329,11186469.115361169,10003306.33805042,10180051.21587653,9867724.715123517,11227317.176376766,10705620.442612756,11627954.379668368,13539751.085980285,10604481.21586275,9308176.38169309,8261862.61717173,10404132.078933315,8698062.723209104,8890319.862289438,7355795.37526713,7058063.266262139,7091167.876578801,6859455.003888501,8777285.296148315
