cluster,weekday,time,Delay Sensitive,Delay Stringent,Delay Tolerant
0,Wed,14:40,415323.75380348024,18464.906832165358,955406.4810059326
0,Wed,15:00,382989.60920839146,18453.52656158649,786565.308306215
0,Wed,15:20,448044.1733011887,15454.109013343388,775673.836651582
0,Wed,15:40,393831.0883267359,12465.519279590117,901637.8752467954
0,Wed,16:00,446808.32258548995,11593.430662492183,909224.2408259702
0,Wed,16:20,360717.1998939592,8058.775584631713,887343.1115297265
0,Wed,16:40,362684.60784758744,14947.671236993287,692426.7461489609
0,Wed,17:00,338985.28436003195,13160.198352079802,723584.5181334576
0,Wed,17:20,381725.03557291767,17017.592272953316,707141.8632560871
0,Wed,17:40,382182.38515013846,12661.230825083509,573836.3398515431
0,Wed,18:00,389783.4573593146,18636.03466904499,773734.3594493906
0,Wed,18:20,338338.74206930265,13009.6664864417,637066.1076002235
0,Wed,18:40,315329.79888138187,12659.11779649846,607860.8771396436
0,Wed,19:00,330381.40133763314,16028.050017451596,642303.3341552423
0,Wed,19:20,362577.5175957516,13828.983130475133,593384.0361892293
0,Wed,19:40,315795.38097541156,18665.46850958026,580154.5672516325
0,Wed,20:00,366684.35529258475,15038.255198676377,636706.5958210395
0,Wed,20:20,320481.1621662392,19812.457769797034,500033.1762776455
0,Wed,20:40,347034.24210695224,6524.719526561933,431156.6819716349
0,Wed,21:00,320722.70956190606,19456.767116989213,542201.6642099372
0,Wed,21:20,277545.1689887646,7741.609807481523,518519.79110801127
0,Wed,21:40,254326.8841416139,6207.775835327155,425703.366988417
0,Wed,22:00,283386.0406189414,5740.506823686546,467793.348486436
0,Wed,22:20,181048.5837457287,6699.181805875045,374161.0153311862
0,Wed,22:40,210784.20218668235,3983.2803305591924,321661.71127108566
0,Wed,23:00,248184.1253513515,6637.819918891602,328854.9702646368
0,Wed,23:20,194284.72952909418,895.1124171600144,361038.56447167596
0,Wed,23:40,155302.3327570806,2784.0872424815298,270572.27008483914
0,Thu,00:00,222388.78138354316,463.33362050009157,272189.3382462263
0,Thu,00:20,135902.88055596958,333.33125711261306,256600.63667825112
0,Thu,00:40,103146.70880789254,1522.5930978958313,221645.48268520265
0,Thu,01:00,101381.85710529085,741.7284255320714,291406.74118301715
0,Thu,01:20,95517.75054636771,1659.003447714083,294013.39882332535
0,Thu,01:40,71156.40318585986,75.36289726492048,218728.91787824413
0,Thu,02:00,94075.88327339952,93.30311914983471,233590.09672427
0,Thu,02:20,98648.89443352846,826.372228958315,228957.55598210482
0,Thu,02:40,105484.45833076144,252.34697538349045,256772.67645546357
0,Thu,03:00,78453.85874605831,465.4896771565477,227002.81408310693
0,Thu,03:20,96925.1491019537,2202.6449325300982,294575.3275562128
0,Thu,03:40,96053.45773828837,1831.8939175462874,294222.04105760955
0,Thu,04:00,119153.38310742735,1648.7028559538394,268330.5012272738
0,Thu,04:20,144039.58415348828,2243.3041280866805,290340.76103766053
0,Thu,04:40,166718.59126610434,1160.0503105227476,288699.68428759323
0,Thu,05:00,210539.7148245524,1819.8898698657101,340625.62266418093
0,Thu,05:20,209494.05344285964,4530.114531485145,334711.3890999276
0,Thu,05:40,260096.30770799855,4489.270776146214,469802.76250609325
0,Thu,06:00,208232.9642546123,6648.503684877013,499774.11158214934
0,Thu,06:20,194292.31245833365,10287.02905630578,622776.9442483623
0,Thu,06:40,327207.4477610994,9687.436621428395,632360.6776298698
0,Thu,07:00,276743.2071934799,9270.332773614537,669847.5854314573
0,Thu,07:20,281453.0642809882,27180.55113174708,632863.7605893426
0,Thu,07:40,282044.8413474453,31131.02856076701,679401.1926289804
0,Thu,08:00,302619.981836938,37698.21229098183,708449.5747505488
0,Thu,08:20,323246.50822940643,28473.605922853858,748678.9137929814
0,Thu,08:40,394091.59785525507,30746.030343670423,806708.7739906163
0,Thu,09:00,359349.75102031644,34495.491760477475,717126.2614652545
0,Thu,09:20,376526.32644218014,30999.925419801155,841012.0790085538
0,Thu,09:40,321442.2263936562,36176.81631656395,786760.4522169599
0,Thu,10:00,399637.6731562952,20257.3583060731,845019.7514966995
0,Thu,10:20,452203.3560978302,20338.897599806784,918607.8473230074
0,Thu,10:40,458210.7072766663,12405.77041854984,852598.946833576
0,Thu,11:00,430992.4278692956,18039.796417945017,1002736.3773258389
0,Thu,11:20,412227.3512957462,20238.34367796606,892558.4757080443
0,Thu,11:40,395113.9144966187,10454.791808769132,839024.518251223
0,Thu,12:00,440545.7820025416,29115.584451082694,980278.1086989627
0,Thu,12:20,340169.64843454555,29287.961714407378,920085.6918906701
0,Thu,12:40,303315.1359894558,32455.840624714838,753509.160375076
0,Thu,13:00,378175.6934964945,28024.06484705439,974965.5975333347
0,Thu,13:20,495098.4121556432,34516.74870253086,889963.6155654911
0,Thu,13:40,379879.2648790536,31087.441437996258,841693.0284114293
0,Thu,14:00,374541.8531963231,30775.77670806985,881688.9199325701
0,Thu,14:20,432523.8149565762,22635.487600682634,893186.3070841947
0,Thu,14:40,456880.232889278,20210.92753023896,912443.8555703489
0,Thu,15:00,405867.2569805672,24597.452011157693,906361.378032114
0,Thu,15:20,420648.6810574683,16958.39598617102,910968.2219574354
0,Thu,15:40,362630.3984635895,16162.666355799049,768115.8895269029
0,Thu,16:00,390150.65487828816,11821.989467133983,820216.5175201385
0,Thu,16:20,395310.5529364365,9975.851934041757,723387.408144991
0,Thu,16:40,347270.4857412359,17929.31730185296,740874.9379458969
0,Thu,17:00,409496.01948975626,12955.956108806988,750875.8906264077
0,Thu,17:20,403356.02273199114,22619.385542806423,757347.8524618687
0,Thu,17:40,369016.232633202,12813.622450606796,733353.8156706108
0,Thu,18:00,344759.8617170283,14873.590029315863,725809.9607749282
0,Thu,18:20,354827.5574775238,12814.576156166871,656511.4695242
0,Thu,18:40,240514.39307817328,20480.75582578589,652716.2902665669
0,Thu,19:00,366512.8324592214,16053.677852440598,680829.8919878644
0,Thu,19:20,361258.17384797335,17232.372494075604,568894.772191538
0,Thu,19:40,389572.399415421,24839.053532565784,593778.5913834248
0,Thu,20:00,391931.25671306317,23400.945593398428,702817.568072119
0,Thu,20:20,376023.63593729155,16623.461684510363,610763.6742725217
0,Thu,20:40,395391.8111770418,15040.850917520018,514220.5138824667
0,Thu,21:00,327429.3980300821,13579.224966172384,583063.9020836765
0,Thu,21:20,378870.5339095383,14341.60840015571,550039.3796800291
0,Thu,21:40,259586.34906377786,6337.577654485991,438934.7278099461
0,Thu,22:00,323703.7218880908,9484.514006005553,424464.4145774526
0,Thu,22:20,273307.3847470642,5417.467115097224,429401.7996005169
0,Thu,22:40,272883.92621187354,5519.932863460339,383316.6205904441
0,Thu,23:00,264861.27365972986,8184.605128220792,409843.46768372407
0,Thu,23:20,216246.88470873513,4307.462224062989,261928.59905639407
0,Thu,23:40,141524.35679908248,594.4591660582145,235647.14279142383
0,Fri,00:00,159147.68791261723,1289.0028006030873,291849.8238229346
0,Fri,00:20,169233.1304798071,3978.5788118031387,290125.04450941464
0,Fri,00:40,153465.20144634636,2909.853776719877,280724.96390532
0,Fri,01:00,90114.17510982043,1478.409005314183,281256.80740412325
0,Fri,01:20,103935.31189100689,1652.209539817561,283006.44317400316
0,Fri,01:40,74391.73624266556,419.0284517312569,300288.544036306
0,Fri,02:00,146364.36796555974,40.334634087722065,248259.66656061664
0,Fri,02:20,67886.48795978796,1769.5130234840435,203762.0562605959
0,Fri,02:40,42097.69734438586,825.5751061874034,239947.1877510434
0,Fri,03:00,98453.51026726226,133.23000586744115,215277.95455600545
0,Fri,03:20,70897.16887924884,430.19658071243447,242386.88667689226
0,Fri,03:40,96835.90155052504,206.73793673129853,216833.644545447
0,Fri,04:00,72270.87402502284,3045.4554665163264,238943.02229121534
0,Fri,04:20,85885.37128064719,1322.3827534275806,293519.3504130527
0,Fri,04:40,108466.25077839328,351.64235342190125,344117.2256476167
0,Fri,05:00,162955.52870822308,576.7642869872274,347446.8182563473
0,Fri,05:20,196546.56056270425,476.2915384744041,394025.5983789604
0,Fri,05:40,233638.92441579804,5719.809535900974,440610.7371007104
0,Fri,06:00,280576.4662541647,2982.7102077152363,527543.1585196798
0,Fri,06:20,185738.76791540455,2417.9077707558054,556095.2373080851
0,Fri,06:40,281871.1740588976,10137.073858226686,594231.4652996109
0,Fri,07:00,253518.28202639055,12922.75380718668,648672.0511044562
0,Fri,07:20,239442.1688734603,22064.155956758394,602449.8818188566
0,Fri,07:40,327747.52451393654,23890.502052119282,565097.3842216516
0,Fri,08:00,339186.6537157207,33514.57454965412,733895.1052073302
0,Fri,08:20,344500.21554656787,45510.581882633174,721049.5649750634
0,Fri,08:40,306789.10890855704,26757.128213371394,613728.5595684105
0,Fri,09:00,245619.0397778604,23780.51584006025,824024.2008880158
0,Fri,09:20,310818.97684354556,35930.40585046908,719411.5325722971
0,Fri,09:40,349521.0915402015,26511.546510959306,638620.2058847671
0,Fri,10:00,302905.0029646527,22683.53824710341,804902.0191448455
0,Fri,10:20,391212.9812429632,25167.088769279442,825425.1606504961
0,Fri,10:40,395970.87293283467,10176.433756244649,760555.4998473277
0,Fri,11:00,487054.8001300186,22668.971775528884,933555.6547190419
0,Fri,11:20,321723.69110992,13325.667526745776,781562.3343216155
0,Fri,11:40,393573.36489815207,14953.444653147038,889529.0566156432
0,Fri,12:00,338602.1119894309,24124.520758059392,818611.8103515017
0,Fri,12:20,494861.18387618085,24911.43525706497,862356.9826206291
0,Fri,12:40,427154.4966133725,14776.474848919643,741672.0242338858
0,Fri,13:00,434081.6753924169,27509.01808385695,870626.969376878
0,Fri,13:20,447057.4742378603,31383.806235075688,866832.2380610683
0,Fri,13:40,352399.37579732377,24399.13900400423,859055.6768836642
0,Fri,14:00,495667.08921180136,18553.491431501356,892682.3496386713
0,Fri,14:20,427105.35044015344,24397.222226550733,903106.3491760228
0,Fri,14:40,364902.9588601005,12649.385929154249,936485.0157561202
0,Fri,15:00,427078.14075093385,15358.310324778811,883648.9021778369
0,Fri,15:20,448950.6508527996,20076.776770864355,863062.6075070614
0,Fri,15:40,293644.01305653626,20050.461302580636,667756.3198604834
0,Fri,16:00,426725.7496757522,18849.33797859575,813216.2377955039
0,Fri,16:20,334651.2140421811,12857.241827331978,775177.2987800553
0,Fri,16:40,322018.64896670205,10817.263474200256,626416.8234447822
0,Fri,17:00,351057.4161994159,10809.13049371946,629008.7037646163
0,Fri,17:20,327110.79211131745,16055.792752150664,737698.3889812304
0,Fri,17:40,330948.54860541306,10638.2647548618,610065.7642838263
0,Fri,18:00,382043.12963808374,13983.154748079674,761238.6136160528
0,Fri,18:20,417216.4435597733,12964.074151723185,645262.8162074419
0,Fri,18:40,343422.0079728605,17098.053135612947,572677.349352106
0,Fri,19:00,419609.25241773523,9131.410835357035,635226.2695122494
0,Fri,19:20,335469.29522837733,7725.921726347215,540395.9307907969
0,Fri,19:40,377724.6921694434,14429.126953922885,544649.2083724579
0,Fri,20:00,421611.1211886664,9700.965556594903,476302.29577608965
0,Fri,20:20,356610.65515710297,15252.712222934444,574269.2992428136
0,Fri,20:40,407812.38075853063,17295.650540996598,552316.6162544764
0,Fri,21:00,419993.44928410253,20165.35737951732,566393.4485831092
0,Fri,21:20,363624.48806042416,12640.514013653927,528430.3547907202
0,Fri,21:40,369762.58230262576,15233.106942936467,554674.9453123759
0,Fri,22:00,333846.65920905164,17044.720123075986,529664.7241904225
0,Fri,22:20,418038.7655290199,9487.315901748301,523650.1628847919
0,Fri,22:40,281352.0478874209,12883.715982901374,480100.661445715
0,Fri,23:00,407728.9451124207,11144.205056149312,459184.17448929907
0,Fri,23:20,427047.9807949871,5065.962432382343,460111.9396082719
0,Fri,23:40,229691.0712686983,13739.819820011893,359833.85179622873
0,Sat,00:00,281371.16297797346,10611.563417691159,418091.0935020319
0,Sat,00:20,150348.15629192835,4323.707347099576,314888.8898064102
0,Sat,00:40,210227.3650713223,14174.760886905442,302762.5103719664
0,Sat,01:00,159950.15441492622,2438.9446527442396,301293.28880510334
0,Sat,01:20,144841.54606858685,1835.4757508964817,340137.8453856519
0,Sat,01:40,172647.33606309738,2460.066733471488,293105.08760729205
0,Sat,02:00,110569.65128686013,5283.623850878443,344845.05982705165
0,Sat,02:20,116750.54024753059,1804.187150488596,249462.68663025295
0,Sat,02:40,62240.572683835904,3585.4835288266854,249865.20347926902
0,Sat,03:00,99857.16175055395,349.19177427226384,266687.21576828335
0,Sat,03:20,101540.96519722232,214.7575695267451,229824.33062167396
0,Sat,03:40,81124.60310908663,343.08816205166414,209065.44622059516
0,Sat,04:00,164491.03523924755,893.9283128801069,254075.59095027842
